snr_db,freq_sep,eig_mag,eig_mag_spread,rho_mode,delays_over_timesteps,num_delays,temporal_dim,spatial_dim,num_modes,top_amplitude,max_rank,artificial_damping,n_iter,dt,noise_mode,base_random_seed,random_seed,method,abs_diff_mean,abs_diff_std,bias_frac_over,bias_frac_under,bias_skewness,order_hit_prob,mean_time_sec,precision,recall,f1,accuracy,tp,fp,fn,tn,max_pa_clean_mean,max_pa_clean_std,sine_max_pa_clean_mean,sine_max_pa_clean_std,mean_pa_clean_mean,mean_pa_clean_std,max_pa_practical_mean,max_pa_practical_std,sine_max_pa_practical_mean,sine_max_pa_practical_std,mean_pa_practical_mean,mean_pa_practical_std,job_id
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,gaussian,196,9196,FixedEigenvalueKVFit,,,0.0,0.0,,0.0,0.4976348714828491,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4822614655500473,0.0278755229998992,0.46360353340374,0.0246565380133598,0.368286371914677,0.0137288912418786,0.2093121002797561,0.023068417008654,0.2077311744700426,0.0225393921833582,0.1349136699797541,0.0110320877499316,9
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,hetero,196,11196,FixedEigenvalueKVFit,,,0.0,0.0,,0.0,0.7126557440757751,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4466717299359511,0.0375923717847004,0.4316566142563106,0.0336809247991534,0.3044842436270103,0.0182227215112201,0.3105424313356518,0.0413369555417537,0.305307686035228,0.0391515864143154,0.1922363173469556,0.0200656666941533,11
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,FixedEigenvalueKVFit+ESR,,,0.0,0.0,,0.0,0.6245145049095154,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4815254485234518,0.0273166927553613,0.4629589467039681,0.024183798730374,0.3684066826690251,0.013621079259365,0.2098259031805652,0.0228183986891698,0.2082347302164524,0.0222894997116017,0.1352417829816057,0.0110383914728484,10
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,gaussian,196,9196,FixedEigenvalueKVFit+ESR,,,0.0,0.0,,0.0,0.4976348714828491,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4822614655500473,0.0278755229998992,0.46360353340374,0.0246565380133598,0.368286371914677,0.0137288912418786,0.2093121002797561,0.023068417008654,0.2077311744700426,0.0225393921833582,0.1349136699797541,0.0110320877499316,9
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,hetero,196,11196,FixedEigenvalueKVFit+ESR,,,0.0,0.0,,0.0,0.7126557440757751,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4466717299359511,0.0375923717847004,0.4316566142563106,0.0336809247991534,0.3044842436270103,0.0182227215112201,0.3105424313356518,0.0413369555417537,0.305307686035228,0.0391515864143154,0.1922363173469556,0.0200656666941533,11
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,GAP,1.0,0.0,0.0,1.0,,0.0,0.6245145049095154,,,,,,,,,0.4815254485234518,0.0273166927553613,0.4629589467039681,0.024183798730374,0.3684066826690251,0.013621079259365,0.2098259031805652,0.0228183986891698,0.2082347302164524,0.0222894997116017,0.1352417829816057,0.0110383914728484,10
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,gaussian,196,9196,GAP,1.0,0.0,0.0,1.0,,0.0,0.4976348714828491,,,,,,,,,0.4822614655500473,0.0278755229998992,0.46360353340374,0.0246565380133598,0.368286371914677,0.0137288912418786,0.2093121002797561,0.023068417008654,0.2077311744700426,0.0225393921833582,0.1349136699797541,0.0110320877499316,9
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,hetero,196,11196,GAP,1.0,0.0,0.0,1.0,,0.0,0.7126557440757751,,,,,,,,,0.4466717299359511,0.0375923717847004,0.4316566142563106,0.0336809247991534,0.3044842436270103,0.0182227215112201,0.3105424313356518,0.0413369555417537,0.305307686035228,0.0391515864143154,0.1922363173469556,0.0200656666941533,11
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,bi_gaussian,196,10196,NestedDMD,,,0.0,0.0,,0.0,0.6245145049095154,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4815254485234518,0.0273166927553613,0.4629589467039681,0.024183798730374,0.3684066826690251,0.013621079259365,0.2098259031805652,0.0228183986891698,0.2082347302164524,0.0222894997116017,0.1352417829816057,0.0110383914728484,10
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,gaussian,196,9196,NestedDMD,,,0.0,0.0,,0.0,0.4976348714828491,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4822614655500473,0.0278755229998992,0.46360353340374,0.0246565380133598,0.368286371914677,0.0137288912418786,0.2093121002797561,0.023068417008654,0.2077311744700426,0.0225393921833582,0.1349136699797541,0.0110320877499316,9
-10.0,0.01,0.98,0.0,random,0.005,1,200,220,2,1.0,15,1.0,500,1.0,hetero,196,11196,NestedDMD,,,0.0,0.0,,0.0,0.7126557440757751,0.1333333333333333,1.0,0.2352941176470588,0.1333333333333333,1000.0,6500.0,0.0,0.0,0.4466717299359511,0.0375923717847004,0.4316566142563106,0.0336809247991534,0.3044842436270103,0.0182227215112201,0.3105424313356518,0.0413369555417537,0.305307686035228,0.0391515864143154,0.1922363173469556,0.0200656666941533,11
